"id";"code_geo";"town_clean"
"1056621";"75056";"PARIS"
"1056787";"36044";"CHATEAUROUX"
"1056852";"78396";"LE MESNIL-LE-ROI"
"1056886";"26362";"VALENCE"
"1057157";"25248";"LES FONTENELLES"
"1057561";"28036";"BERCHERES-SUR-VESGRE"
"1057710";"88218";"GRANGES-SUR-VOLOGNE"
"1057728";"33003";"AMBARES-ET-LAGRAVE"
"1057900";"47209";"PONT-DU-CASSE"
"1058015";"11182";"LACOMBE"
"1058346";"06030";"LE CANNET"
"1058593";"75056";"PARIS"
"1058619";"52429";"ROCHES-SUR-MARNE"
"1058627";"69029";"BRON"
"1058643";"50129";"CHERBOURG-EN-COTENTIN"
"1058668";"37081";"CLERE-LES-PINS"
"1058734";"34032";"BEZIERS"
"1058858";"30047";"BOUILLARGUES"
"1058973";"13055";"MARSEILLE"
"1059021";"92051";"NEUILLY-SUR-SEINE"
"1059294";"17003";"AIGREFEUILLE-D'AUNIS"
"1059765";"84007";"AVIGNON"
"1060060";"24182";"LE FLEIX"
"1060185";"33281";"MERIGNAC"
"1060292";"11079";"CAUDEBRONDE"
"1060383";"92022";"CHAVILLE"
"1060565";"78561";"SAINT-LAMBERT-DES-BOIS"
"1060979";"75056";"PARIS"
"1061126";"59350";"LILLE"
"1061308";"75056";"PARIS"
"1061373";"68386";"ZIMMERSHEIM"
"1061738";"02173";"CHAUNY"
"1061852";"03104";"DOYET"
"1061878";"03275";"SOUVIGNY"
"1061944";"04081";"ESPARRON-DE-VERDON"
"1061977";"06088";"NICE"
"1062017";"06088";"NICE"
"1062025";"06030";"LE CANNET"
"1062231";"07194";"ROCHESSAUVE"
"1062264";"07324";"TOURNON-SUR-RHONE"
"1062272";"07011";"ANTRAIGUES-SUR-VOLANE"
"1062314";"10387";"TROYES"
"1062322";"10323";"ROMILLY-SUR-SEINE"
"1062454";"11067";"CANET"
"1062561";"13055";"MARSEILLE"
"1062611";"34344";"LA GRANDE-MOTTE"
"1062678";"13001";"AIX-EN-PROVENCE"
"1062686";"13001";"AIX-EN-PROVENCE"
"1062934";"13016";"LA BOUILLADISSE"
"1062983";"13038";"FONTVIEILLE"
"1063197";"17485";"LE GRAND-VILLAGE-PLAGE"
"1063270";"18265";"TORTERON"
"1063353";"21231";"DIJON"
"1063692";"24520";"SARLAT-LA-CANEDA"
"1063841";"25547";"SOCHAUX"
"1064047";"26252";"PORTES-LES-VALENCE"
"1064104";"27209";"ECAQUELON"
"1064120";"27348";"IGOVILLE"
"1064161";"28196";"ILLIERS-COMBRAY"
"1064245";"29004";"BANNALEC"
"1064377";"30007";"ALES"
"1064807";"33449";"SAINT-MEDARD-EN-JALLES"
"1065242";"36044";"CHATEAUROUX"
"1065374";"37171";"NOIZAY"
"1065481";"38100";"LE CHEYLAS"
"1065507";"38185";"GRENOBLE"
"1065572";"38416";"SAINT-MARCELLIN"
"1065689";"38150";"DOMENE"
"1065887";"41294";"VILLIERS-SUR-LOIR"
"1065895";"41031";"CELLETTES"
"1066141";"44069";"GUERANDE"
"1066349";"45272";"SAINT-CYR-EN-VAL"
"1066638";"50593";"TEURTHEVILLE-BOCAGE"
"1066968";"54049";"BASLIEUX"
"1067263";"52479";"SOMMEVOIRE"
"1067370";"59350";"LILLE"
"1067404";"59378";"MARCQ-EN-BAROEUL"
"1067453";"59250";"FOURNES-EN-WEPPES"
"1067529";"59599";"TOURCOING"
"1067545";"59526";"SAINT-AMAND-LES-EAUX"
"1067677";"59008";"ANICHE"
"1067735";"59042";"BACHY"
"1067883";"60598";"SAINT-SULPICE"
"1067958";"60159";"COMPIEGNE"
"1068063";"62065";"AVION"
"1068121";"62038";"ARDRES"
"1068147";"62126";"BEUVRY"
"1068204";"63113";"CLERMONT-FERRAND"
"1068238";"63063";"CEBAZAT"
"1068303";"63022";"AUZAT-LA-COMBELLE"
"1068774";"67348";"OBERNAI"
"1069038";"68256";"PFASTATT"
"1069079";"68224";"MULHOUSE"
"1069145";"68359";"WATTWILLER"
"1069178";"68063";"CERNAY"
"1069202";"69123";"LYON"
"1069426";"69071";"CURIS-AU-MONT-D'OR"
"1069442";"69034";"CALUIRE-ET-CUIRE"
"1069780";"72363";"TUFFE"
"1070010";"74137";"GROISY"
"1070143";"75056";"PARIS"
"1070291";"75056";"PARIS"
"1070598";"28143";"ESCORPAIN"
"1070978";"76414";"MARTIN-EGLISE"
"1071075";"76351";"LE HAVRE"
"1071109";"76026";"ARQUES-LA-BATAILLE"
"1071240";"77122";"COMBS-LA-VILLE"
"1071315";"77164";"ECHOUBOULAINS"
"1071323";"77407";"SAINT-FARGEAU-PONTHIERRY"
"1071331";"78646";"VERSAILLES"
"1071380";"78551";"SAINT-GERMAIN-EN-LAYE"
"1071471";"83061";"FREJUS"
"1071562";"78481";"LE PECQ"
"1071604";"72089";"CONLIE"
"1071695";"78358";"MAISONS-LAFFITTE"
"1071703";"78358";"MAISONS-LAFFITTE"
"1071711";"75056";"PARIS"
"1071802";"35223";"PLELAN-LE-GRAND"
"1071968";"61001";"ALENCON"
"1072255";"83061";"FREJUS"
"1072263";"83069";"HYERES"
"1072313";"83046";"COTIGNAC"
"1072453";"84086";"OPPEDE"
"1072826";"89473";"VILLIERS-SUR-THOLON"
"1072875";"89349";"SAINT-LEGER-VAUBAN"
"1072917";"90042";"EVETTE-SALBERT"
"1072925";"32079";"CASTELNAU-AUZAN-LABARRERE"
"1073048";"91657";"VIGNEUX-SUR-SEINE"
"1073311";"91114";"BRUNOY"
"1073410";"92023";"CLAMART"
"1073717";"92063";"RUEIL-MALMAISON"
"1073758";"92025";"COLOMBES"
"1073832";"93008";"BOBIGNY"
"1073949";"28115";"COURTALAIN"
"1073956";"93071";"SEVRAN"
"1074020";"93049";"NEUILLY-PLAISANCE"
"1074053";"93047";"MONTFERMEIL"
"1074137";"93029";"DRANCY"
"1074541";"34309";"TEYRAN"
"1074632";"95219";"ERMONT"
"1074657";"78567";"SAINT-MARTIN-LA-GARENNE"
"1074731";"95306";"HERBLAY"
"1075043";"87085";"LIMOGES"
"1075167";"89475";"VILLON"
"1075290";"67102";"DOSSENHEIM-KOCHERSBERG"
"1075480";"33192";"GRADIGNAN"
"1075555";"92004";"ASNIERES-SUR-SEINE"
"1075829";"07281";"SAINT-PERAY"
"1076173";"13055";"MARSEILLE"
"1076231";"92012";"BOULOGNE-BILLANCOURT"
"1076579";"75056";"PARIS"
"1076611";"67139";"FLEXBOURG"
"1076652";"31116";"CASTELGINEST"
"1076991";"75056";"PARIS"
"1077296";"44190";"SAINT-SEBASTIEN-SUR-LOIRE"
"1077338";"56117";"LOCMINE"
"1077379";"26063";"BUIS-LES-BARONNIES"
